0.5,0.1875,0.0556,0.7797,0.0,0.0,0.3241,0.3729,0.0,1.0,0.0
0.75,0.5,0.4722,0.435,0.8125,0.4688,0.088,0.8475,0.0,1.0,0.0
0.5625,0.4219,0.4537,0.3785,0.375,0.3594,0.4306,0.4237,0.0,0.0,1.0
0.875,0.9844,0.6019,0.5424,0.625,0.0625,0.0,0.8023,1.0,0.0,0.0
0.5625,0.4063,0.4491,0.4463,0.375,0.4844,0.4815,0.4068,0.0,0.0,1.0
0.625,0.7656,0.1528,1.0,1.0,0.7344,0.5417,0.4802,0.0,0.0,1.0
0.625,0.0625,0.0,0.8023,0.5,0.1875,0.0556,0.7797,0.0,1.0,0.0
0.8125,0.4688,0.088,0.8475,0.5625,0.4219,0.4537,0.3785,1.0,0.0,0.0
0.5625,0.4531,0.4398,0.4124,0.875,0.9844,0.6019,0.5424,0.0,0.0,1.0
0.8125,0.4688,0.088,0.8475,0.375,0.3594,0.4306,0.4237,0.0,1.0,0.0
0.5,0.1875,0.0556,0.7797,0.25,0.1719,0.0556,0.8531,1.0,0.0,0.0
1.0,0.9375,0.1806,0.9718,0.0,0.0,0.3241,0.3729,1.0,0.0,0.0
0.5625,0.4219,0.4537,0.3785,0.75,0.5625,0.8333,0.0,0.0,0.0,1.0
0.75,0.625,1.0,0.0169,0.875,0.9844,0.6019,0.5424,0.0,0.0,1.0
0.6875,1.0,0.5556,0.5311,0.625,0.7656,0.1528,1.0,1.0,0.0,0.0
0.5625,0.4063,0.4491,0.4463,1.0,0.9375,0.1806,0.9718,0.0,0.0,1.0
0.4375,0.5156,0.4352,0.4237,1.0,0.7344,0.5417,0.4802,1.0,0.0,0.0
0.75,0.5625,0.8333,0.0,0.8125,0.4688,0.088,0.8475,0.0,1.0,0.0
0.625,0.7656,0.1528,1.0,0.625,0.0625,0.0,0.8023,1.0,0.0,0.0
0.625,0.0625,0.0,0.8023,0.5625,0.2813,0.4167,0.4181,1.0,0.0,0.0
0.5625,0.4531,0.4398,0.4124,0.0,0.0,0.3241,0.3729,0.0,0.0,1.0
0.75,0.5,0.4722,0.435,0.875,0.9844,0.6019,0.5424,0.0,1.0,0.0
0.5,0.1875,0.0556,0.7797,0.75,0.625,1.0,0.0169,0.0,0.0,1.0
1.0,0.7344,0.5417,0.4802,0.375,0.3594,0.4306,0.4237,1.0,0.0,0.0
0.4375,0.5156,0.4352,0.4237,0.6875,1.0,0.5556,0.5311,0.0,1.0,0.0
0.375,0.3594,0.4306,0.4237,0.375,0.4844,0.4815,0.4068,0.0,0.0,1.0
0.5625,0.4531,0.4398,0.4124,1.0,0.9375,0.1806,0.9718,0.0,0.0,1.0
0.625,0.0625,0.0,0.8023,0.4375,0.5156,0.4352,0.4237,1.0,0.0,0.0
0.5,0.1875,0.0556,0.7797,0.5625,0.4531,0.4398,0.4124,0.0,0.0,1.0
0.25,0.1719,0.0556,0.8531,0.5625,0.4219,0.4537,0.3785,0.0,1.0,0.0
0.0,0.0,0.3241,0.3729,0.625,0.0625,0.0,0.8023,1.0,0.0,0.0
